Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 80943,Specimen/Lot,"Acanthogorgia aldabra Bayer, 1996",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Dec-91,"Acanthogorgia aldabra Bayer, 1996 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol); SEM Stub,JS-14,"Stefani, J.",4/8/91,,Indian Ocean,,,Seychelles,,,,"Aldabra Atoll, Ile Picard, West Of Settlement, Near Buoy",,,,,,,,,17.00,,,,,,,355515,,,,,,,,10/21/18 12:25,http://n2t.net/ark:/65665/3284f9745-720a-42da-9d0c-764918149164
USNM 100895,Specimen/Lot,"Acanthogorgia angustiflora Kukenthal & Gorzawsky, 1908",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",27-Feb-05,"Acanthogorgia angustiflora Kukenthal & Gorzawsky, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3 ca.,,Dry; Alcohol (Ethanol),16,"Turnipseed, M.",12/6/04,Trawl - Shrimp,North Atlantic Ocean,,,United States,,,,South Of Georges Bank,39.8756,-67.4219,,,Delaware II R/V,11,,,,,,,,DQ297418; DQ297437,,2020022,,,,,,,,10/6/21 14:01,http://n2t.net/ark:/65665/3c72f47e0-436f-40a1-9029-0f77870d9033
USNM 11917,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2528,United States Fish Commission,07/13/1885,Trawl - Large Beam,North Atlantic Ocean,,,United States,Massachusetts,,,Between Georges and Browns Banks,41.7833,-65.625,,,Albatross R/V,,,,1421.00,,,,USFC/A2528,,,0,,,,,,,,12/23/18 19:51,http://n2t.net/ark:/65665/39b7edddd-bfdd-4fdf-936d-740884c7b206
USNM 11976,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2528,United States Fish Commission,07/13/1885,Trawl - Large Beam,North Atlantic Ocean,,,United States,Massachusetts,,,Between Georges and Browns Banks,41.7833,-65.625,,,Albatross R/V,,,,1421.00,,,,USFC/A2528,,,0,,,,,,,,12/23/18 19:51,http://n2t.net/ark:/65665/364edc2fb-0a1d-4fb7-8063-36692c48ad7a
USNM 14482,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Deichmann, Elizabeth",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,6 ca.,,Alcohol (Ethanol),2668,United States Fish Commission,05/05/1886,Trawl - Large Beam,North Atlantic Ocean,,,United States,Georgia,,,Cumberland Island,30.975,-79.6417,,,Albatross R/V,,,,538.00,,,,USFC/A2668,,,0,,,,,,,,1/9/19 19:18,http://n2t.net/ark:/65665/389146c05-2d29-4367-b542-90d763f51a22
USNM 16952,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),863,"Mckinnon, D.",09/30/1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,Grand Banks,,,,Gloucester Fisheries,Schooner Mary F. Chisholm,,,,731.00,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3a785babd-f9d7-46ea-baf3-d73220324a52
USNM 16953,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),804,"Morrisey, J. D.",08/16/1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,"Grand Banks, Western Edge",,,,,Schooner Plymouth Rock,,,,,,,,,,,0,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/345ce8296-8ca5-4486-8140-cc47bbdd977e
USNM 17237,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2046,United States Fish Commission,07/31/1883,Trawl - Beam,North Atlantic Ocean,,,United States,Massachusetts,,,"Nantucket Shoals, SE of",40.0469,-68.8167,,,Albatross R/V,,,,744.00,,,,USFC/A2046,,,0,,,,,,,,10/28/18 18:27,http://n2t.net/ark:/65665/3e6075c48-3180-493f-829b-89bef4be33d2
USNM 17238,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),364,"Wilson, J. I.",2/22/09,,North Atlantic Ocean,,,Canada,Nova Scotia,,,"Banquereau Bank, Eastern End",44.5,-57.13,,Gloucester Fisheries,Schooner Polar Wave,,,,366.00,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3e244989a-15a0-438b-94f6-77aa1eae729e
USNM 17239,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),791,"Crew, C.",08/04/1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,"St. Peter's Bank, South Of",44.83,-56.27,,,Schooner Isaac A. Chapman,,,,380.00,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3c972d230-a65a-4243-9d36-fe9feb3d413a
