"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 100895"	"Specimen/Lot"	"Acanthogorgia angustiflora Kukenthal & Gorzawsky, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"27-Feb-05"	"Acanthogorgia angustiflora Kukenthal & Gorzawsky, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"3 ca."	NA	"Dry; Alcohol (Ethanol)"	"16"	"Turnipseed, M."	2012-06-04	"Trawl - Shrimp"	"North Atlantic Ocean"	NA	NA	"United States"	NA	NA	NA	"South Of Georges Bank"	39.8756	-67.4219	NA	NA	"Delaware II R/V"	"11"	NA	NA	NA	NA	NA	NA	NA	"DQ297418; DQ297437"	NA	2020022	NA	NA	NA	NA	NA	NA	NA	"10/6/21 14:01"	"http://n2t.net/ark:/65665/3c72f47e0-436f-40a1-9029-0f77870d9033"
"USNM 11917"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"2528"	"United States Fish Commission"	NA	"Trawl - Large Beam"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Between Georges and Browns Banks"	41.7833	-65.625	NA	NA	"Albatross R/V"	NA	NA	NA	1421	NA	NA	NA	"USFC/A2528"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"12/23/18 19:51"	"http://n2t.net/ark:/65665/39b7edddd-bfdd-4fdf-936d-740884c7b206"
"USNM 11976"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"2528"	"United States Fish Commission"	NA	"Trawl - Large Beam"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Between Georges and Browns Banks"	41.7833	-65.625	NA	NA	"Albatross R/V"	NA	NA	NA	1421	NA	NA	NA	"USFC/A2528"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"12/23/18 19:51"	"http://n2t.net/ark:/65665/364edc2fb-0a1d-4fb7-8063-36692c48ad7a"
"USNM 14482"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Deichmann, Elizabeth"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"6 ca."	NA	"Alcohol (Ethanol)"	"2668"	"United States Fish Commission"	2005-05-18	"Trawl - Large Beam"	"North Atlantic Ocean"	NA	NA	"United States"	"Georgia"	NA	NA	"Cumberland Island"	30.975	-79.6417	NA	NA	"Albatross R/V"	NA	NA	NA	538	NA	NA	NA	"USFC/A2668"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/9/19 19:18"	"http://n2t.net/ark:/65665/389146c05-2d29-4367-b542-90d763f51a22"
"USNM 17237"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"2046"	"United States Fish Commission"	NA	"Trawl - Beam"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Nantucket Shoals, SE of"	40.0469	-68.8167	NA	NA	"Albatross R/V"	NA	NA	NA	744	NA	NA	NA	"USFC/A2046"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"10/28/18 18:27"	"http://n2t.net/ark:/65665/3e6075c48-3180-493f-829b-89bef4be33d2"
"USNM 17238"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"364"	"Wilson, J. I."	NA	NA	"North Atlantic Ocean"	NA	NA	"Canada"	"Nova Scotia"	NA	NA	"Banquereau Bank, Eastern End"	44.5	-57.13	NA	"Gloucester Fisheries"	"Schooner Polar Wave"	NA	NA	NA	366	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3e244989a-15a0-438b-94f6-77aa1eae729e"
"USNM 17239"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"791"	"Crew, C."	2008-04-18	NA	"North Atlantic Ocean"	NA	NA	"Canada"	"Newfoundland"	NA	NA	"St. Peter's Bank, South Of"	44.83	-56.27	NA	NA	"Schooner Isaac A. Chapman"	NA	NA	NA	380	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3c972d230-a65a-4243-9d36-fe9feb3d413a"
"USNM 17241"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"309"	"Bartlett, J. R."	NA	NA	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Georges Bank, off NE end of"	40.1944	-68.3667	NA	"U.S. Coast Survey"	"Blake R/V"	NA	NA	NA	556	NA	NA	NA	"USFC/FCBK309"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"5/18/21 21:02"	"http://n2t.net/ark:/65665/38b29eca8-d93a-4202-b64e-600efa590b72"
"USNM 21841"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"1124"	NA	NA	"Trawl"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Georges Bank, SW Edge"	40.02	-68.9	NA	NA	"Fish Hawk R/V"	NA	NA	NA	1170	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:10"	"http://n2t.net/ark:/65665/34cab14a9-3280-4784-a97b-ba4c75bbb426"
"USNM 30191"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"2"	NA	"Alcohol (Ethanol)"	"1124"	NA	NA	"Trawl"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Georges Bank, SW Edge"	40.02	-68.9	NA	NA	"Fish Hawk R/V"	NA	NA	NA	1170	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:10"	"http://n2t.net/ark:/65665/35cd4e279-b1e3-4214-829a-fc37f5e548be"
