"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 60280"	"Specimen/Lot"	"Calcigorgia beringi (Nutting, 1912)"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"4971"	"United States Fish Commission"	NA	"Trawl - Agassiz beam, 9 ft"	"North Pacific Ocean"	NA	NA	"Japan"	"Wakayama"	NA	NA	"Honshu Island, Shiono Misaki"	33.3917	135.567	NA	"Northwestern Pacific Expedition"	"Albatross R/V"	NA	NA	NA	1187	NA	NA	NA	"USFC/A4971"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/28/21 18:55"	"http://n2t.net/ark:/65665/3b99602a3-aef5-44d9-a234-7a33dbcb16e0"
"USNM 1006240"	"Specimen/Lot"	"Calcigorgia beringi (Nutting, 1912)"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/9/05"	"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"DRY"	NA	"Slear, J."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Andreanof Islands, Great Sitkin Island"	52.0005	-176.642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AB01-43"	NA	NA	2022850	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3204e8f02-5ce3-41f8-bcdb-ef71b8c3e4d4"
"USNM 1116869"	"Specimen/Lot"	"Calcigorgia beringi (Nutting, 1912)"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Matsumoto, Asako K., Chiba Institute of Technology (JAPAN)"	NA	"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	"Swiftia beringi (Nutting, 1912)"	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"132"	NA	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Washington"	NA	NA	NA	48.3007	-124.935	NA	"Deep Sea Coral and Sponge Habitat Expedition"	"Ropos ROV"	"958"	NA	NA	227.9	NA	NA	NA	NA	NA	NA	2043710	NA	NA	NA	NA	NA	NA	NA	"2/3/21 20:00"	"http://n2t.net/ark:/65665/38972f251-7441-4740-9a54-8bf3c7f9ece0"
"USNM 1136483"	"Specimen/Lot"	"Calcigorgia beringi (Nutting, 1912)"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History"	"7/2/09"	"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"DWG-1-1"	"Driscoll, J."	NA	NA	"North Pacific Ocean"	NA	"Queen Charolette Sound"	"Canada"	"British Columbia"	NA	NA	NA	51.7064	-130.752	NA	NA	NA	NA	NA	NA	284	NA	NA	NA	NA	NA	NA	2052170	NA	NA	NA	NA	NA	NA	NA	"1/28/21 18:56"	"http://n2t.net/ark:/65665/3568e29fe-b268-4b63-a7dd-211ae14cb6ad"
"USNM 1092786"	"Specimen/Lot"	"Calcigorgia cf. beringi (Nutting, 1912)"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Matsumoto, Asako K., Chiba Institute of Technology (JAPAN)"	NA	"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	"Calcigorgia sp."	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"Ommaney 4"	"Stone, R."	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Alaska"	NA	NA	"Alexander Archipelago, Baranof Island, Cape Ommaney"	56.1781	-135.121	NA	NA	NA	NA	NA	NA	244	NA	NA	NA	NA	NA	NA	2038959	NA	NA	NA	NA	NA	NA	NA	"2/3/21 19:55"	"http://n2t.net/ark:/65665/34a531d6a-b6b4-423d-b19f-e0baf3a0897b"
"USNM 1006141"	"Specimen/Lot"	"Calcigorgia cf. spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"9/26/05"	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	2	NA	"DRY; Alcohol (Ethanol)"	"3"	"Lindner, A."	NA	"snail bag"	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Umnak Island"	52.6326	-169.788	NA	"NOAA Expedition 2001"	"Vesteraalen R/V"	NA	NA	NA	80	NA	NA	NA	"haul 3 #6"	NA	NA	2022850	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/33445f06f-eeae-48fe-9c84-35ef7fcf96b0"
"USNM 80949"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"10/2/91"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	NA	"Viada, S. T."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Akun Island, Off N Coast"	54.2458	-165.689	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	377438	NA	NA	NA	NA	NA	NA	NA	"10/21/18 12:25"	"http://n2t.net/ark:/65665/3798d46fb-b449-4923-98f1-afe0372f08b6"
"USNM 82124"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"4/20/92"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"VH-80-30"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Umnak Island, South Of"	52.8761	-168.795	NA	NA	"Miller Freeman R/V"	"802"	NA	NA	86	NA	NA	NA	NA	NA	NA	372336	NA	NA	NA	NA	NA	NA	NA	"10/21/18 12:32"	"http://n2t.net/ark:/65665/3227bb260-3210-4ab8-a139-93b0267420a6"
"USNM 1004615"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"9/27/05"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Dry"	NA	"McCluskey, P."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, southwest of Amchitka Island"	51.2885	178.947	NA	NA	NA	NA	NA	NA	391	NA	NA	NA	"AB01-65"	NA	NA	2021644	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3c6233cbb-acfe-4d4d-bf2e-51708e1bf6b9"
"USNM 1006154"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/9/05"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"DRY"	NA	"Renfro, K."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, east of the Delarof Islands"	51.6962	-178.342	NA	NA	"Spirit of the North R/V"	NA	NA	NA	280	NA	NA	NA	"AB01-64, sample #16"	NA	NA	2022850	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3a286394e-d0f6-49b0-bc1c-e40f392ea721"
