"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 54712"	"Specimen/Lot"	"Cyclomuricea flabellata Nutting, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea flabellata Nutting, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	NA	"Grigg, R."	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Oahu Island, Off NW Coast"	21.795	-158.15	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"II"	NA	NA	190	NA	NA	NA	NA	NA	NA	323385	NA	NA	NA	NA	NA	NA	NA	2020-05-11 17:32:00	"http://n2t.net/ark:/65665/3494fd944-affa-432d-92c1-49302bc6f3ad"
"USNM 56193"	"Specimen/Lot"	"Cyclomuricea flabellata Nutting, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea flabellata Nutting, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"36-26"	NA	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Kaiwi Channel"	21.15	-157.48	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"36"	NA	NA	183	NA	NA	NA	NA	NA	NA	324686	NA	NA	NA	NA	NA	NA	NA	2020-07-20 16:45:00	"http://n2t.net/ark:/65665/3eb2e9acf-690e-455b-8f64-8a67633462e8"
"USNM 56194"	"Specimen/Lot"	"Cyclomuricea flabellata Nutting, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea flabellata Nutting, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"2"	NA	"Alcohol (Ethanol)"	"36-14"	"National Marine Fisheries Service"	NA	"Trawl - Shrimp"	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Oahu Island, Kawela Bay, NW Of"	21.7	-158.087	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"36"	NA	NA	110	NA	NA	NA	NA	NA	NA	324686	NA	NA	NA	NA	NA	NA	NA	2020-05-11 17:33:00	"http://n2t.net/ark:/65665/3097edb2e-0b53-436b-b7a8-345d2e260b05"
"USNM 56195"	"Specimen/Lot"	"Cyclomuricea flabellata Nutting, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea flabellata Nutting, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"3"	NA	"Alcohol (Ethanol)"	"40-112"	NA	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Oahu Island, N Of"	21.6567	-158.118	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"40"	NA	NA	102	NA	NA	NA	NA	NA	NA	324686	NA	NA	NA	NA	NA	NA	NA	2020-07-20 17:55:00	"http://n2t.net/ark:/65665/39a3e4002-44e6-4d96-b136-a7b6c858126c"
"USNM 56196"	"Specimen/Lot"	"Cyclomuricea flabellata Nutting, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea flabellata Nutting, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"3"	NA	"Alcohol (Ethanol)"	"40-112"	NA	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Oahu Island, N Of"	21.6567	-158.118	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"40"	NA	NA	102	NA	NA	NA	NA	NA	NA	324686	NA	NA	NA	NA	NA	NA	NA	2020-07-20 17:55:00	"http://n2t.net/ark:/65665/3a3821601-ddf9-4f50-a2e3-bc58be11f180"
"USNM 58173"	"Specimen/Lot"	"Cyclomuricea flabellata Nutting, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea flabellata Nutting, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"35-28"	NA	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Molokai Island"	21.2417	-157.148	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"35"	NA	NA	124	NA	NA	NA	NA	NA	NA	324686	NA	NA	NA	NA	NA	NA	NA	2020-07-20 16:35:00	"http://n2t.net/ark:/65665/3e3f15c38-13b9-4c94-b195-c30e813151b4"
"USNM 1010738"	"Specimen/Lot"	"Cyclomuricea flabellata Nutting, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	2002	"Cyclomuricea flabellata Nutting, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"Dive P4-064"	"Hawaii Undersea Research Laboratory"	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	"Maui County"	NA	"Molokai, Penguin Bank"	21.9297	-157.527	NA	NA	"Pisces IV DSR/V"	"KOK/Pices 4"	NA	NA	198	NA	NA	NA	NA	NA	"cruise/photo# : P4-064 specimen 1"	2027603	NA	NA	NA	NA	NA	NA	NA	2017-01-15 18:11:00	"http://n2t.net/ark:/65665/3b1fd4002-f69d-4275-95de-a7399d33100b"
"USNM 49833"	"Specimen/Lot"	"Cyclomuricea sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Cyclomuricea sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5275"	"United States Fish Commission"	NA	"Trawl - Agassiz beam, 12 ft"	"North Pacific Ocean"	"China Sea"	NA	"Philippines"	"Mindoro Occidental"	NA	NA	"Verde Island Passage, Malavatuan Island"	13.9319	120.171	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	214	NA	NA	NA	"USFC/A5275"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	2019-07-29 20:44:00	"http://n2t.net/ark:/65665/34c3ef39b-a844-4b08-9af0-430830271a1e"
"USNM 54713"	"Specimen/Lot"	"Cyclomuricea sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"HAUL 8"	"Grigg, R."	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Oahu Island, Kaiwi Channel, East Of Makapuu"	21.2986	-157.542	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"III"	NA	NA	385	NA	NA	NA	NA	NA	NA	323385	NA	NA	NA	NA	NA	NA	NA	2020-07-23 16:58:00	"http://n2t.net/ark:/65665/3e4211ffa-207b-473a-8e4b-51a08ecc03da"
"USNM 54714"	"Specimen/Lot"	"Cyclomuricea sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Cyclomuricea sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Alcohol (Ethanol)"	"HAUL 1"	"Grigg, R."	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Hawaii"	NA	NA	"Oahu Island, Makapuu Point"	21.315	-157.558	NA	"Sango Expedition"	"Townsend Cromwell R/V"	"X"	NA	NA	463	NA	NA	NA	NA	NA	NA	323385	NA	NA	NA	NA	NA	NA	NA	2020-07-28 17:58:00	"http://n2t.net/ark:/65665/357ad2814-9eba-43c1-834b-8690ef1bbb43"
