"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 75471"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Alcohol (Ethanol)"	"RFB 1483"	"Bolland, R. F."	NA	"Scuba - Hand"	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Onna Island"	26.5	127.848	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	"BOLLAND/RFB 1483"	NA	"Original Number : OK0886RB"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:32"	"http://n2t.net/ark:/65665/36030bfea-f902-4e6a-be0e-9a7b0f9a7d2c"
"USNM 75769"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Sesoko Island"	26.63	127.85	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	"Original Number : OK0077KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3afe7b679-aebe-4369-b412-eaeea948d9a0"
"USNM 75770"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Sesoko Island"	26.63	127.85	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	"Original Number : OK0079KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3deb9d9e2-592a-43bd-92a2-c16df5ab8967"
"USNM 75897"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	"RFB 0961"	"Bolland, R. F."	NA	"Scuba - Hand"	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village"	26.5	127.848	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	"BOLLAND/RFB 0961"	NA	"Original Number : OK0236RB"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:32"	"http://n2t.net/ark:/65665/35f92352b-79b8-4c90-9247-bb4fe29cd635"
"USNM 76026"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Sesoko Island"	26.63	127.85	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	"Original Number : OK0404KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/318975b1f-cbd3-4376-a3e6-90af632c6b91"
"USNM 76029"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	NA	NA	NA	"Kerama, Kuroshima"	26.25	127.4	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	"Original Number : OK0407KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3ce4e34ac-7dad-474a-8257-01d0c6cb4961"
"USNM 76035"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	NA	NA	NA	"Kerama, Kuroshima"	26.25	127.4	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	"Original Number : OK0414KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3a7b5af51-938c-4846-b0ce-e673f1aa696d"
"USNM 76039"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	NA	NA	NA	"Kerama, Tokashiki"	26.2083	127.37	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	"Original Number : OK0418KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/32f751428-7914-4e8a-af2a-58256346a875"
"USNM 76076"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Onna Island"	26.5	127.848	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	"Original Number : OK0459KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3186902b3-1029-4c13-b4b9-988eb2d9538d"
"USNM 76078"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Onna Island"	26.5	127.848	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	"Original Number : OK0463KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3bc0dfa82-539f-4a33-bc1e-50903abbc5a3"
"USNM 76106"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Adakajima"	26.75	128.33	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	"Original Number : OK0493KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3ae8190d9-8a8c-48e3-a899-52a7757216ad"
