ï»¿Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 60280,Specimen/Lot,"Calcigorgia beringi (Nutting, 1912)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),4971,United States Fish Commission,31-Aug-10,"Trawl - Agassiz beam, 9 ft",North Pacific Ocean,,,Japan,Wakayama,,,"Honshu Island, Shiono Misaki",33.3917,135.567,,Northwestern Pacific Expedition,Albatross R/V,,,,1187.00,,,,USFC/A4971,,,0,,,,,,,,1/28/21 18:55,http://n2t.net/ark:/65665/3b99602a3-aef5-44d9-a234-7a33dbcb16e0
USNM 1006240,Specimen/Lot,"Calcigorgia beringi (Nutting, 1912)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/9/05,"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,,"Slear, J.",14-Nov-04,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Andreanof Islands, Great Sitkin Island",52.0005,-176.642,,,,,,,,,,,AB01-43,,,2022850,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3204e8f02-5ce3-41f8-bcdb-ef71b8c3e4d4
USNM 1116869,Specimen/Lot,"Calcigorgia beringi (Nutting, 1912)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Matsumoto, Asako K., Chiba Institute of Technology (JAPAN)",,"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria","Swiftia beringi (Nutting, 1912)",,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),132,,2-Jun-10,,North Pacific Ocean,,,United States,Washington,,,,48.3007,-124.935,,Deep Sea Coral and Sponge Habitat Expedition,Ropos ROV,958,,,227.90,,,,,,,2043710,,,,,,,,2/3/21 20:00,http://n2t.net/ark:/65665/38972f251-7441-4740-9a54-8bf3c7f9ece0
USNM 1136483,Specimen/Lot,"Calcigorgia beringi (Nutting, 1912)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History",7/2/09,"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),DWG-1-1,"Driscoll, J.",12-Jun-13,,North Pacific Ocean,,Queen Charolette Sound,Canada,British Columbia,,,,51.7064,-130.752,,,,,,,284.00,,,,,,,2052170,,,,,,,,1/28/21 18:56,http://n2t.net/ark:/65665/3568e29fe-b268-4b63-a7dd-211ae14cb6ad
USNM 1092786,Specimen/Lot,"Calcigorgia cf. beringi (Nutting, 1912)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Matsumoto, Asako K., Chiba Institute of Technology (JAPAN)",,"Calcigorgia beringi (Nutting, 1912) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",Calcigorgia sp.,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),Ommaney 4,"Stone, R.",20-Aug-09,,North Pacific Ocean,,,United States,Alaska,,,"Alexander Archipelago, Baranof Island, Cape Ommaney",56.1781,-135.121,,,,,,,244.00,,,,,,,2038959,,,,,,,,2/3/21 19:55,http://n2t.net/ark:/65665/34a531d6a-b6b4-423d-b19f-e0baf3a0897b
USNM 1006141,Specimen/Lot,"Calcigorgia cf. spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",9/26/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,DRY; Alcohol (Ethanol),3,"Lindner, A.",22-May-05,snail bag,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Umnak Island",52.6326,-169.788,,NOAA Expedition 2001,Vesteraalen R/V,,,,80.00,,,,haul 3 #6,,,2022850,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/33445f06f-eeae-48fe-9c84-35ef7fcf96b0
USNM 80949,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",10/2/91,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Viada, S. T.",2-Aug-89,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Akun Island, Off N Coast",54.2458,-165.689,,,,,,,40.00,,,,,,,377438,,,,,,,,10/21/18 12:25,http://n2t.net/ark:/65665/3798d46fb-b449-4923-98f1-afe0372f08b6
USNM 82124,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",4/20/92,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),VH-80-30,,6-Aug-84,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Umnak Island, South Of",52.8761,-168.795,,,Miller Freeman R/V,802,,,86.00,,,,,,,372336,,,,,,,,10/21/18 12:32,http://n2t.net/ark:/65665/3227bb260-3210-4ab8-a139-93b0267420a6
USNM 1004615,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",9/27/05,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"McCluskey, P.",,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, southwest of Amchitka Island",51.2885,178.947,,,,,,,391.00,,,,AB01-65,,,2021644,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3c6233cbb-acfe-4d4d-bf2e-51708e1bf6b9
USNM 1004642,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",9/27/05,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,,,,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,,,,,,,,,,,,,,AB01-66,,,2021644,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3556c3b92-04c4-4d34-b0db-894f4f209b89
