"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"68108"	NA	"Muricella"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Okinawa, Bise"	NA	NA	NA	NA	26.70833333	127.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68107"	NA	"Muricella"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Okinawa, Bise"	NA	NA	NA	NA	26.70833333	127.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68104"	NA	"Muricella"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Onna, Okinawa"	NA	NA	NA	NA	26.5	127.8483333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"USNM 30093"	NA	"Muricella abnormalis Nutting, 1912"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Nutting, C. C."	NA	"Muricella abnormalis Nutting, 1912 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	"Holotype"	"Nutting. 1912. Proc. U.S. Natl. Mus. 43: 79, pl. 11, fig. 3,3a, pl. 20, fig. 6."	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Alcohol (Ethanol)"	"5070"	"United States Fish Commission"	NA	"tangle swabs"	"North Pacific Ocean"	"Suruga Gulf"	NA	"Japan"	"Shizuoka"	NA	NA	"Honshu Island, Numazu, Suruga Bay"	35.0569	138.794	NA	"Northwestern Pacific Expedition"	"Albatross R/V"	NA	NA	NA	198	NA	NA	"Has original artwork or illustration attached."	"USFC/A5070"	NA	NA	51381	NA	NA	NA	NA	NA	NA	NA	"10/2/19 15:46"	"http://n2t.net/ark:/65665/39e3532c8-3756-4f51-a014-d9c26483d3b5"
"USNM 91919"	NA	"Muricella complanata Wright & Studer, 1889"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Nutting, C. C."	NA	"Muricella complanata Wright & Studer, 1889 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"80"	NA	NA	NA	"South Pacific Ocean"	NA	NA	"Indonesia"	"Sulawesi"	NA	NA	"Greater Sunda Islands, Makassar Strait, Balahalangan Island"	-2.4167	117.717	NA	"Siboga Expedition"	"Siboga R/V"	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	392622	NA	NA	NA	NA	NA	NA	NA	"10/21/18 13:28"	"http://n2t.net/ark:/65665/3ddb60454-3f10-4e46-8617-70f71fa33cb6"
"USNM 1104699"	NA	"Muricella complanata Wright & Studer, 1889"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"van Ofwegen, Leen P."	"22-Dec-85"	"Muricella complanata Wright & Studer, 1889 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"371D"	NA	NA	"Trawl - Agassiz"	"Indian Ocean"	NA	NA	"Mozambique"	NA	NA	NA	"Mozambique Channel, South of Inhambane"	-24.77	35.33	NA	"IIOE - International Indian Ocean Expedition"	"Anton Bruun R/V"	"7"	NA	NA	165	NA	NA	NA	NA	NA	NA	412580	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/344596e87-1665-4f8d-9b4a-bb197dd723e8"
"USNM 44079"	NA	"Muricella englemani Bayer, 1949"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella englemani Bayer, 1949 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	"Holotype"	"Bayer. 1949. Pac. Sci. 3: 202, fig. 2(d-h), pl. 2, fig. 1."	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Dry"	"9"	"Russell, R. D."	NA	NA	"North Pacific Ocean"	NA	NA	"Marshall Islands"	NA	NA	NA	"Ralik Chain, Bikini Atoll, Off Bikini Atoll"	11.4878	165.346	NA	"Bikini Scientific Resurvey, 1947"	NA	NA	NA	NA	176	NA	NA	NA	NA	NA	NA	176603	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:07"	"http://n2t.net/ark:/65665/3fb65823f-6ca2-4faf-948f-03176250e833"
"USNM 44080"	NA	"Muricella englemani Bayer, 1949"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella englemani Bayer, 1949 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	"Holotype"	"Bayer. 1949. Pac. Sci. 3: 202, fig. 2(d-h), pl. 2, fig. 1."	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 Fragment(s)"	NA	"Alcohol (Ethanol)"	"9"	"Russell, R. D."	NA	NA	"North Pacific Ocean"	NA	NA	"Marshall Islands"	NA	NA	NA	"Ralik Chain, Bikini Atoll, Off Bikini Atoll"	11.4878	165.346	NA	"Bikini Scientific Resurvey, 1947"	NA	NA	NA	NA	176	NA	NA	NA	NA	NA	NA	176603	NA	NA	NA	NA	NA	NA	NA	"1/27/21 20:25"	"http://n2t.net/ark:/65665/378747cbb-5610-4388-8800-219f52ea74ee"
"USNM 93905"	NA	"Muricella grandis Nutting, 1910"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Nutting, C. C."	NA	"Muricella grandis Nutting, 1910 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	"Paratype"	NA	"Schizotype"	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Alcohol (Ethanol)"	"117"	NA	2007-12-18	NA	"North Pacific Ocean"	NA	NA	"Indonesia"	"Sulawesi"	NA	NA	"Greater Sunda Islands, Celebes Island, Off Kwandang Bay Entrance, North Celebes"	1.0083	122.933	NA	"Siboga Expedition"	"Siboga R/V"	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	392622	NA	NA	NA	NA	NA	NA	NA	"10/21/18 13:40"	"http://n2t.net/ark:/65665/3a59098dc-8e70-4757-88bb-0e996bba16f2"
"USNM 42591"	NA	"Muricella megaspina Hargitt & Rogers, 1901"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Hargitt, Charles W., Hargitt Collection"	NA	"Muricella megaspina Hargitt & Rogers, 1901 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	"Holotype"	"Hargitt. 1901. Bull. U.S. Fish. Commn. 20: 282."	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	NA	NA	NA	NA	"North Atlantic Ocean"	"Caribbean Sea"	NA	"Puerto Rico"	NA	NA	NA	NA	18.23	-66.55	NA	"Puerto Rico Expedition"	"Fish Hawk R/V"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97540	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:07"	"http://n2t.net/ark:/65665/34143269a-a63c-4bed-8f05-88e90fa1363f"
