Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 75471,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1483,"Bolland, R. F.",28-Jun-85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,to 40,,,,BOLLAND/RFB 1483,,Original Number : OK0886RB,350091,,,,,,,,5/10/16 17:32,http://n2t.net/ark:/65665/36030bfea-f902-4e6a-be0e-9a7b0f9a7d2c
USNM 75769,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",27-Jul-81,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.63,127.85,,,,,,,10,,,,,,Original Number : OK0077KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3afe7b679-aebe-4369-b412-eaeea948d9a0
USNM 75770,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",27-Jul-81,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.63,127.85,,,,,,,19,,,,,,Original Number : OK0079KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3deb9d9e2-592a-43bd-92a2-c16df5ab8967
USNM 75897,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 0961,"Bolland, R. F.",11-Nov-81,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,55 to 64,,,,BOLLAND/RFB 0961,,Original Number : OK0236RB,350091,,,,,,,,5/10/16 17:32,http://n2t.net/ark:/65665/35f92352b-79b8-4c90-9247-bb4fe29cd635
USNM 76026,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",1-Sep-82,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.63,127.85,,,,,,,20,,,,,,Original Number : OK0404KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/318975b1f-cbd3-4376-a3e6-90af632c6b91
USNM 76029,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",18-Sep-82,,North Pacific Ocean,,,Japan,,,,"Kerama, Kuroshima",26.25,127.4,,,,,,,20,,,,,,Original Number : OK0407KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3ce4e34ac-7dad-474a-8257-01d0c6cb4961
USNM 76035,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",18-Sep-82,,North Pacific Ocean,,,Japan,,,,"Kerama, Kuroshima",26.25,127.4,,,,,,,23,,,,,,Original Number : OK0414KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3a7b5af51-938c-4846-b0ce-e673f1aa696d
USNM 76039,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",18-Sep-82,,North Pacific Ocean,,,Japan,,,,"Kerama, Tokashiki",26.2083,127.37,,,,,,,23,,,,,,Original Number : OK0418KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/32f751428-7914-4e8a-af2a-58256346a875
USNM 76076,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",29-Sep-82,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,22,,,,,,Original Number : OK0459KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3186902b3-1029-4c13-b4b9-988eb2d9538d
USNM 76078,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",29-Sep-82,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,22,,,,,,Original Number : OK0463KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3bc0dfa82-539f-4a33-bc1e-50903abbc5a3
