id,occurrence_id,last_modified,callnumber,title,scientificname,collector,collecting_date,latitude,longitude,datum,geographic_continent,geographic_country,geographic_stateprovince,geographic_county,geographic_municipality,geographic_locality,common_name,type,format,era,geographic_culture,identified_by,identification_references,previous_identifications,associated_references
2943509,urn:uuid:ac7ed786-3abb-4f58-ba45-e6d4f94f6a1e,2016-03-08T09:58:26.000Z,YPM IZ 005248.CN,"Acanthogorgia armata; YPM IZ 005248.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Sable Island; S of Sable Island; Jeffreys J. Lavender, Schr. Addison Centre; 1879",Acanthogorgia armata,"Jeffreys J. Lavender, Schr. Addison Centre",1879,43.5000,-59.8333,,North America,Canada,Nova Scotia,,Sable Island,S of Sable Island,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia armata
2945029,urn:uuid:7462ba4a-d438-40a0-856c-35621ac202af,2016-03-07T11:41:34.000Z,YPM IZ 008600.CN,Acanthogorgia armata; YPM IZ 008600.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Sable Island Bank; Southern part of Sable Island Bank; Schr. S. R. Lane; 1879,Acanthogorgia armata,Schr. S. R. Lane,1879,43.5333,-60.3500,,North America,Canada,Nova Scotia,,Sable Island Bank,Southern part of Sable Island Bank,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia armata
2945030,urn:uuid:28e71eda-2c55-4196-84c6-cbd57f15fbfe,2016-03-06T17:10:26.000Z,YPM IZ 008601.CN,Acanthogorgia armata; YPM IZ 008601.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Sable Island Bank; S-slope of Sable Island Bank; between Bonnecamps Canyon and Logan Canyon; Schr. Augusta. H. Johnson; 1879,Acanthogorgia armata,Schr. Augusta. H. Johnson,1879,43.2500,-60.3333,,North America,Canada,Nova Scotia,,Sable Island Bank,S-slope of Sable Island Bank; between Bonnecamps Canyon and Logan Canyon,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia armata
2945031,urn:uuid:24169cd4-a565-46a8-ab81-3154efb5729a,2016-03-06T17:10:26.000Z,YPM IZ 008602.CN,Acanthogorgia armata; YPM IZ 008602.CN; North America; Atlantic Ocean; Canada; Newfoundland; Grand Banks; Edge of Grand Banks; Schr. Guy Cunningham; 1880-07-10,Acanthogorgia armata,Schr. Guy Cunningham,1880-07-10,,,,North America,Canada,Newfoundland,,Grand Banks,Edge of Grand Banks,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia armata
2945032,urn:uuid:f92524b3-83c0-4d8b-b724-b8c9b573ec99,2016-03-09T10:37:09.000Z,YPM IZ 008603.CN,Acanthogorgia armata; YPM IZ 008603.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Sable Island; Gully between Sable Island Bank and Banquereau; Schr. Grace L. Fears; 1879,Acanthogorgia armata,Schr. Grace L. Fears,1879,43.8000,-59.0000,,North America,Canada,Nova Scotia,,Sable Island,Gully between Sable Island Bank and Banquereau,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia armata
2911720,urn:uuid:1d315ebd-0132-4d00-8590-109cb86b4056,2016-03-06T17:10:26.000Z,YPM IZ 008604.CNA,"Acanthogorgia armata; YPM IZ 008604.CNA (SYNTYPE); North America; Atlantic Ocean; Canada; Nova Scotia; Western Bank; Thomas Goodwin, Schr. Elisha Crowell; 1878",Acanthogorgia armata,"Thomas Goodwin, Schr. Elisha Crowell",1878,,,,North America,Canada,Nova Scotia,,Western Bank,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,"Verrill, Addison E. 1878. Notice of recent additions to the marine fauna of the eastern coast of North America. No. 2. American Journal of Science. 16: 371-378.",Acanthogorgia armata,"SYNTYPE. See: Verrill, Addison E. 1878. Notice of recent additions to the marine fauna of the eastern coast of North America. No. 2. American Journal of Science. 16: 371-378."
2945033,urn:uuid:39760d40-6d7f-4014-9afe-b94d30d8d16b,2016-03-06T17:10:26.000Z,YPM IZ 008604.CNB,"Acanthogorgia armata; YPM IZ 008604.CNB (SYNTYPE); North America; Atlantic Ocean; Canada; Nova Scotia; Western Bank; Thomas Goodwin, Schr. Elisha Crowell; 1878",Acanthogorgia armata,"Thomas Goodwin, Schr. Elisha Crowell",1878,,,,North America,Canada,Nova Scotia,,Western Bank,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,"Verrill, Addison E. 1878. Notice of recent additions to the marine fauna of the eastern coast of North America. No. 2. American Journal of Science. 16: 371-378.",Acanthogorgia armata,"SYNTYPE. See: Verrill, Addison E. 1878. Notice of recent additions to the marine fauna of the eastern coast of North America. No. 2. American Journal of Science. 16: 371-378."
2946272,urn:uuid:e5fa885d-3388-4303-9b05-0062b8168068,2016-03-09T10:37:09.000Z,YPM IZ 010026.CN,"Acanthogorgia armata; YPM IZ 010026.CN; North America; Atlantic Ocean; USA; Massachusetts; Race Point Light; S. 23 D E. 5.5 miles, E of No. 308; U.S. Fish Comm. Stmr. Speedwell; 1879-08-25",Acanthogorgia armata,U.S. Fish Comm. Stmr. Speedwell,1879-08-25,42.1417,-70.28,,North America,USA,Massachusetts,,Race Point Light,"S. 23 D E. 5.5 miles, E of No. 308",sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946273,urn:uuid:4bc657c2-8242-44b5-b70b-f81eae1d0244,2016-03-07T11:41:34.000Z,YPM IZ 010027.CN,"Acanthogorgia armata; YPM IZ 010027.CN (SYNTYPE); North America; Atlantic Ocean; USA; Massachusetts; George's Bank; Charles Anderson, Schr. Alice G. Wonson; 1878-09-19",Acanthogorgia armata,"Charles Anderson, Schr. Alice G. Wonson",1878-09-19,,,,North America,USA,Massachusetts,,George's Bank,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,"Verrill, Addison E. 1878. Notice of recent additions to the marine fauna of the eastern coast of North America. No. 2. American Journal of Science. 16: 371-378.",Acanthogorgia armata,"SYNTYPE. See: Verrill, Addison E. 1878. Notice of recent additions to the marine fauna of the eastern coast of North America. No. 2. American Journal of Science. 16: 371-378."
2946274,urn:uuid:4109f12b-fadc-43cf-8d6c-dd6acdaaa840,2016-03-07T11:41:34.000Z,YPM IZ 010028.CN,"Acanthogorgia armata; YPM IZ 010028.CN; North America; Atlantic Ocean; Canada; off Continental Shelf; About 100 miles S of Cape Sable, Nova Scotia; U.S. Fish Comm. Stmr. Albatross; 1885-07-13",Acanthogorgia armata,U.S. Fish Comm. Stmr. Albatross,1885-07-13,41.7833,-65.6250,,North America,Canada,,,off Continental Shelf,"About 100 miles S of Cape Sable, Nova Scotia",sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946275,urn:uuid:6fb32bbd-e1c2-43b8-9e72-8c0e62d3b5d3,2016-03-07T11:41:34.000Z,YPM IZ 010029.CN,Acanthogorgia armata; YPM IZ 010029.CN; North America; Atlantic Ocean; Canada; Newfoundland; Grand Banks; Schr. Mary F. Chisholm; 1880-09-30,Acanthogorgia armata,Schr. Mary F. Chisholm,1880-09-30,,,,North America,Canada,Newfoundland,,Grand Banks,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946276,urn:uuid:64742312-2def-4c14-8e04-55f7f6c1f7e1,2016-03-16T15:23:08.000Z,YPM IZ 010030.CN,Acanthogorgia armata; YPM IZ 010030.CN; North America; Atlantic Ocean; USA; off Continental Shelf; U.S. Fish Comm. Stmr. Albatross; 1883-07-31,Acanthogorgia armata,U.S. Fish Comm. Stmr. Albatross,1883-07-31,40.0469,-68.8167,,North America,USA,,,off Continental Shelf,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946277,urn:uuid:fa6c5747-41d7-4976-b35e-f96bdabe4352,2016-03-09T10:37:09.000Z,YPM IZ 010031.CN,Acanthogorgia armata; YPM IZ 010031.CN; North America; Atlantic Ocean; Canada; Newfoundland; Grand Banks; Schr. Mary F. Chisholm; 1880-09-30,Acanthogorgia armata,Schr. Mary F. Chisholm,1880-09-30,,,,North America,Canada,Newfoundland,,Grand Banks,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946278,urn:uuid:cd47dc9f-d850-4e51-887c-7c30f34acd6c,2016-03-09T10:37:09.000Z,YPM IZ 010032.CN,Acanthogorgia armata; YPM IZ 010032.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Saint Peter's Bank; Schr. Isaac A. Chapman; 1880-08-04,Acanthogorgia armata,Schr. Isaac A. Chapman,1880-08-04,44.8333,-65.2667,,North America,Canada,Nova Scotia,,Saint Peter's Bank,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia armata|Acanthogorgia armata var.,|Det. by: Addison E. Verrill
2946279,urn:uuid:f847c02c-692b-4ed6-9db2-7f34d976d397,2016-03-09T10:37:09.000Z,YPM IZ 010033.CN,"Acanthogorgia armata; YPM IZ 010033.CN; North America; Atlantic Ocean; USA; Continental Shelf off Atlantic States; NE of Norfolk, VA. Fine sand bottom; U.S. Fish Comm. Stmr. Albatross; 1883-04-27",Acanthogorgia armata,U.S. Fish Comm. Stmr. Albatross,1883-04-27,35.2833,-75.2167,,North America,USA,,,Continental Shelf off Atlantic States,"NE of Norfolk, VA. Fine sand bottom",sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946280,urn:uuid:94726849-4428-44a4-b903-09a96b65d8ba,2016-03-08T09:58:26.000Z,YPM IZ 010034.CN,Acanthogorgia armata; YPM IZ 010034.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Western Bank; Schr. Lizzie K. Clark; 1878-10-06,Acanthogorgia armata,Schr. Lizzie K. Clark,1878-10-06,43.5333,-59.7500,,North America,Canada,Nova Scotia,,Western Bank,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946281,urn:uuid:5ca8eaf6-6f93-4292-9404-395fdc7c2e70,2016-03-07T11:41:34.000Z,YPM IZ 010035.CN,Acanthogorgia armata; YPM IZ 010035.CN; North America; Atlantic Ocean; Canada; Newfoundland; Grand Banks; Southwest edge of Grand Banks; Schr. Notice; 1880-09-14,Acanthogorgia armata,Schr. Notice,1880-09-14,,,,North America,Canada,Newfoundland,,Grand Banks,Southwest edge of Grand Banks,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946282,urn:uuid:b753f0c4-b797-4ffe-a7cd-6b334c55c677,2016-03-08T09:58:26.000Z,YPM IZ 010036.CN,Acanthogorgia armata; YPM IZ 010036.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Off Nova Scotia; western edge Grand Banks; Schr. Plymouth Rock; 1880-08-16,Acanthogorgia armata,Schr. Plymouth Rock,1880-08-16,,,,North America,Canada,Nova Scotia,,Off Nova Scotia,western edge Grand Banks,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2957125,urn:uuid:7d5d0e76-f5ef-41a4-87cd-01c4e76748f1,2016-03-07T11:41:34.000Z,YPM IZ 010037.CN,Acanthogorgia armata; YPM IZ 010037.CN; North America; Atlantic Ocean; Canada; Nova Scotia; Sable Island; off Sable Island; Schr. Proctor Brothers; 1879-12,Acanthogorgia armata,Schr. Proctor Brothers,1879-12,43.2667,-60.5833,,North America,Canada,Nova Scotia,,Sable Island,off Sable Island,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
2946283,urn:uuid:f37f963b-afcb-498d-ba24-fc039eff5099,2016-03-09T10:37:09.000Z,YPM IZ 010038.CN,Acanthogorgia armata; YPM IZ 010038.CN; North America; Atlantic Ocean; Canada; Newfoundland; Grand Banks; Edge of Grand Banks; Schr. Guy Cunningham; 1880-08-16,Acanthogorgia armata,Schr. Guy Cunningham,1880-08-16,,,,North America,Canada,Newfoundland,,Grand Banks,Edge of Grand Banks,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia armata,Det. by: Addison E. Verrill
