COLLECTION,CAT_NUM,SCIENTIFIC_NAME,SPEC_LOCALITY,VERBATIM_DATE,TYPESTATUS,DEC_LAT,DEC_LONG,CAT_NUM_PREFIX,CAT_NUM_INTEGER
"Invertebrate Zoology","CNID-4704","Acanthogorgia aspera","St. Vincent and Grenadines, Off St. Vincent","February 18, 1879","Voucher of <i>Acanthogorgia aspera</i>","13.11","-61.2125","CNID-","4704"
"Invertebrate Zoology","68033","Acanthogorgia","Tokunoshima, Senma Bay","September 10, 1985","","27.7819444444","128.8736111111","","68033"
"Invertebrate Zoology","60875","Acanthogorgia","Horseshoe Cliffs, 1 km WNW Onna Village, Okinawa Islands","22/10/1988","","26.5","127.8483333333","","60875"
"Invertebrate Zoology","67078","Acanthogorgia","Tonaki/Umusaki, Okinawa","October 09, 1985","","26.3583333333","127.1633333333","","67078"
"Invertebrate Zoology","67079","Acanthogorgia","Horseshoe Cliffs, 1 km WNW Onna Village, Okinawa","9/5/1990","","26.5","127.8483333333","","67079"
"Invertebrate Zoology","CNID-3702","Acanthogorgia","Cuba, Old Bahama Channel north of Cayo Coco","April 28, 1939","","22.6","-78.35","CNID-","3702"
"Invertebrate Zoology","68042","Acanthogorgia","Raja Noi","4/12/1987","","","","","68042"
"Invertebrate Zoology","68108","Muricella","Okinawa, Bise","August 9, 1985","","26.7083333333","127.875","","68108"
"Invertebrate Zoology","68099","Acanthogorgia","Tokunoshima, Senma Bay","September 10, 1985","","27.7819444444","128.8736111111","","68099"
"Invertebrate Zoology","67120","Acanthogorgia","Horseshoe Cliffs, 1 km W.N.W. of Onna Village, Okinawa","November 13, 1988","","26.5","127.8483333333","","67120"
"Invertebrate Zoology","68100","Acanthogorgia","Okinawa, Iejima","August 9, 1986","","26.7233333333","127.8388888889","","68100"
"Invertebrate Zoology","68107","Muricella","Okinawa, Bise","August 9, 1985","","26.7083333333","127.875","","68107"
"Invertebrate Zoology","CNID-4708","Acanthogorgia aspera","Barbados","March 8, 1879","Voucher of <i>Acanthogorgia aspera</i>","13.1902777778","-59.7597222222","CNID-","4708"
"Invertebrate Zoology","CNID-4705","Acanthogorgia aspera","Barbados","March 9, 1879","Voucher of <i>Acanthogorgia aspera</i>","13.1983333333","-59.6458333333","CNID-","4705"
"Invertebrate Zoology","126517","Acanthogorgia armata","NE end of George's Bank","June 29, 1880","","41.5472222222","-65.9166666667","","126517"
"Invertebrate Zoology","CNID-4710","Acanthogorgia muricata","Barbados","March 5, 1879","Additional Material of <i>Acanthogorgia muricata</i>| Syntype of <i>Acanthogorgia muricata</i>| Voucher of <i>Acanthogorgia schrammi</i>","13.07","-59.6125","CNID-","4710"
"Invertebrate Zoology","67077","Acanthogorgia","Ko Dok Mai, E of Phuket","11/12/1987","","7.7958333333","98.5375","","67077"
"Invertebrate Zoology","139338","Acanthogorgia","California","2016-07-10","","33.4773845","-119.1444253","","139338"
"Invertebrate Zoology","CNID-4707","Acanthogorgia aspera","Puerto Rico, Mayaguez Harbor","1899-01-20","Voucher of <i>Acanthogorgia aspera</i>","","","CNID-","4707"
"Invertebrate Zoology","68103","Muricella","Raja Noi","4/12/1987","","","","","68103"
"Invertebrate Zoology","68101","Acanthogorgia","Tonaki/Umusaki, Okinawa","September19, 1985","","26.3583333333","127.1633333333","","68101"
"Invertebrate Zoology","68034","Acanthogorgia","Onna, Okinawa","28/6/1985","","26.5","127.8483333333","","68034"
"Invertebrate Zoology","67066","Acanthogorgia","E of St. Augustine","February 25, 1940","","30.1666666667","-78.7333333333","","67066"
"Invertebrate Zoology","68041","Acanthogorgia","Okinawa, Iejima","August 9, 1986","","26.7233333333","127.8388888889","","68041"
"Invertebrate Zoology","CNID-4709","Aristogorgia ordinata","Barbados","March 5, 1879","Voucher of <i>Aristogorgia ordinata</i>| Voucher of <i>Acanthogorgia schrammi</i>","13.0638888889","-59.6180555556","CNID-","4709"
"Invertebrate Zoology","CNID-4706","Acanthogorgia aspera","Barbados, off Sandy Bay","December 29-30, 1871","Voucher of <i>Acanthogorgia aspera</i>","13.05","-59.5833333333","CNID-","4706"
"Invertebrate Zoology","CNID-3719","Acanthogorgia","Cuba, off Santa Clara, Bahia de Cochinos","1939-04-04","","22.15","-81.15","CNID-","3719"
"Invertebrate Zoology","CNID-5025","Acanthogorgia schrammi","Montserrat","January 16, 1879","","16.6983333333","-62.2233333333","CNID-","5025"
"Invertebrate Zoology","68104","Muricella","Onna, Okinawa","28/6/1985","","26.5","127.8483333333","","68104"
"Invertebrate Zoology","CNID-4701","Acanthogorgia armata","United States, SE of Martha's Vineyard, between Georges Bank and Newport","June 30, 1880","Voucher of <i>Acanthogorgia armata</i>","40.1944444444","-68.3666666667","CNID-","4701"
"Invertebrate Zoology","68105","Acanthogorgia","Raja Noi","4/12/1987","","","","","68105"
"Invertebrate Zoology","139742","Acanthogorgia","California","2018-07-14","","33.95929899","-119.4754059","","139742"
"Invertebrate Zoology","139743","Acanthogorgia","California","2018-07-14","","33.95936301","-119.4754693","","139743"
"Invertebrate Zoology","139649","Acanthogorgia","California","2018-07-14","","33.9607218","-119.481558","","139649"
"Invertebrate Zoology","ALCY-410","Acanthogorgia coccinea","Hong Kong","1853-1856","","","","ALCY-","410"
"Invertebrate Zoology","68035","Acanthogorgia","Japan, Okino Erabu","October 16, 1986","","27.4083333333","128.6166666667","","68035"
"Invertebrate Zoology","68040","Acanthogorgia","Okinawa, Iejima","August 9, 1986","","26.7233333333","127.8388888889","","68040"
"Invertebrate Zoology","67065","Acanthogorgia","Georges Bank: Canyon C.","July 23, 1936","","40.3166666667","-67.8666666667","","67065"
"Invertebrate Zoology","139653","Acanthogorgia","California","2018-07-14","","33.96066","-119.481423","","139653"
"Invertebrate Zoology","CNID-4702","Acanthogorgia aspera","Cuba, Havana","1872-1874","Lectotype of <i>Acanthogorgia aspera</i>| Syntype of <i>Acanthogorgia aspera</i>","","","CNID-","4702"
"Invertebrate Zoology","67593","Acanthogorgia carduella","[no specific locality data]","[no verbatim date data]","Additional Material of <i>Acanthogorgia carduella</i>","","","","67593"
"Invertebrate Zoology","67121","Acanthogorgia","Senkaku Islands, Okinawa Pref. Fish. Lab.","5/8/1985","","","","","67121"
"Invertebrate Zoology","68102","Acanthogorgia","Raja Noi","4/12/1987","","","","","68102"
"Invertebrate Zoology","CNID-4711","Acanthogorgia schrammi","St. Vincent and Grenadines, Off Grenadines","February 23, 1879","Voucher of <i>Acanthogorgia schrammi</i>","12.5458333333","-61.4875","CNID-","4711"
"Invertebrate Zoology","CNID-4703","Acanthogorgia aspera","Dominica","January 28, 1879","Voucher of <i>Acanthogorgia aspera</i>","15.2708333333","-61.4111111111","CNID-","4703"
"Invertebrate Zoology","139655","Acanthogorgia","California","2018-07-14","","33.960721","-119.481488","","139655"
"Invertebrate Zoology","68039","Acanthogorgia","Izu-Kogen, Izu Peninsula","14/8/1985","","34.8333333333","139.0833333333","","68039"
"Invertebrate Zoology","CNID-3864","Acanthogorgia","Cuba,  Old Bahama Channel, off Punta Alegre","March 10, 1938","","22.8","-78.6666666667","CNID-","3864"
"Invertebrate Zoology","139637","Acanthogorgia","California","2016-07-13","","33.95936301","-119.4754693","","139637"
"Invertebrate Zoology","CNID-4137","Acanthogorgia","Japan, off Chiba","May 19, 1900","","34.9666666667","139.75","CNID-","4137"
"Invertebrate Zoology","67109","Acanthogorgia","Izu-Kogen, Izu Peninsula","14/8/1985","","34.8333333333","139.0833333333","","67109"
"Invertebrate Zoology","68106","Acanthogorgia","Okinawa Archipelago, Amami Oshima, Tande-Oshima","October 20, 1985","","28.1666666667","129.2416666667","","68106"
"Invertebrate Zoology","CNID-4678","Acanthogorgia hirta","United States, Florida, Off Bahia Honda","May 4, 1868","Voucher of <i>Trachymuricea hirta</i>| Syntype of <i>Acanthogorgia hirta</i>| Additional Material of <i>Acromuricea hirta</i>","24.2388888889","-80.9944444444","CNID-","4678"
