´ŽèCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
68108,,Muricella,,,,,,,,,,,,,,,,,,,,8/10/89,,,,,"Okinawa, Bise",,,,,26.70833333,127.875,,,,,,,,,,,,,,,,,,,,,,,
68107,,Muricella,,,,,,,,,,,,,,,,,,,,8/10/89,,,,,"Okinawa, Bise",,,,,26.70833333,127.875,,,,,,,,,,,,,,,,,,,,,,,
68103,,Muricella,,,,,,,,,,,,,,,,,,,,4/13/91,,,,,Raja Noi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68104,,Muricella,,,,,,,,,,,,,,,,,,,,6/28/85,,,,,"Onna, Okinawa",,,,,26.5,127.8483333,,,,,,,,,,,,,,,,,,,,,,,
USNM 30093,,"Muricella abnormalis Nutting, 1912",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Muricella abnormalis Nutting, 1912 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,"Nutting. 1912. Proc. U.S. Natl. Mus. 43: 79, pl. 11, fig. 3,3a, pl. 20, fig. 6.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),5070,United States Fish Commission,10/16/10,tangle swabs,North Pacific Ocean,Suruga Gulf,,Japan,Shizuoka,,,"Honshu Island, Numazu, Suruga Bay",35.0569,138.794,,Northwestern Pacific Expedition,Albatross R/V,,,,198.00,,,Has original artwork or illustration attached.,USFC/A5070,,,51381,,,,,,,,10/2/19 15:46,http://n2t.net/ark:/65665/39e3532c8-3756-4f51-a014-d9c26483d3b5
USNM 30085,,"Muricella complanata Wright & Studer, 1889",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Muricella complanata Wright & Studer, 1889 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),4461,United States Fish Commission,5/13/08,"Trawl - Blake Beam, 10 ft",North Pacific Ocean,,,United States,California,,,"Monterey Bay, Point Pinos",,,,California Coast Expedition,Albatross R/V,,,,653.00,,,,USFC/A4461,,,0,,,,,,,,6/17/19 16:14,http://n2t.net/ark:/65665/3831216be-7e40-4ff6-ab44-43719089c5f4
USNM 91919,,"Muricella complanata Wright & Studer, 1889",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Muricella complanata Wright & Studer, 1889 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),80,,06/13/1899,,South Pacific Ocean,,,Indonesia,Sulawesi,,,"Greater Sunda Islands, Makassar Strait, Balahalangan Island",-2.4167,117.717,,Siboga Expedition,Siboga R/V,,,,50.00,,,,,,,392622,,,,,,,,10/21/18 13:28,http://n2t.net/ark:/65665/3ddb60454-3f10-4e46-8617-70f71fa33cb6
USNM 1104699,,"Muricella complanata Wright & Studer, 1889",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",22-Dec-85,"Muricella complanata Wright & Studer, 1889 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),371D,,8/19/68,Trawl - Agassiz,Indian Ocean,,,Mozambique,,,,"Mozambique Channel, South of Inhambane",-24.77,35.33,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,7,,,165.00,,,,,,,412580,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/344596e87-1665-4f8d-9b4a-bb197dd723e8
USNM 44079,,"Muricella englemani Bayer, 1949",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Muricella englemani Bayer, 1949 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,"Bayer. 1949. Pac. Sci. 3: 202, fig. 2(d-h), pl. 2, fig. 1.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,9,"Russell, R. D.",8/7/51,,North Pacific Ocean,,,Marshall Islands,,,,"Ralik Chain, Bikini Atoll, Off Bikini Atoll",11.4878,165.346,,"Bikini Scientific Resurvey, 1947",,,,,176.00,,,,,,,176603,,,,,,,,1/15/17 18:07,http://n2t.net/ark:/65665/3fb65823f-6ca2-4faf-948f-03176250e833
USNM 44080,,"Muricella englemani Bayer, 1949",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Muricella englemani Bayer, 1949 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,"Bayer. 1949. Pac. Sci. 3: 202, fig. 2(d-h), pl. 2, fig. 1.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 Fragment(s),,Alcohol (Ethanol),9,"Russell, R. D.",8/7/51,,North Pacific Ocean,,,Marshall Islands,,,,"Ralik Chain, Bikini Atoll, Off Bikini Atoll",11.4878,165.346,,"Bikini Scientific Resurvey, 1947",,,,,176.00,,,,,,,176603,,,,,,,,1/27/21 20:25,http://n2t.net/ark:/65665/378747cbb-5610-4388-8800-219f52ea74ee
